Palavra, N
exerted,10
wont,13
possessor,3
tried,72
raises,5
meanly,22
machinating,2
inculcate,4
depriving,5
rights,6
affluence,6
splendour,5
peers,5
ambitious,12
heartily,83
conflicts,6
encounter,6
doctor,107
precept,9
stubbornness,3
interpretation,6
recur,3
pursuit,25
providence,35
sufferings,79
length,54
touched,65
informs,10
dines,2
plate,13
morsel,5
eat,42
persuasory,1
effort,40
attempted,33
refractory,2
sups,1
promised,122
signify,19
rejecting,18
paused,25
expostulate,14
receding,5
conquer,28
reward,72
unjustly,5
apprised,1
pertly,3
loss,93
benevolent,12
accommodate,11
circumstance,34
becomes,39
thankful,23
annually,3
lentils,1
deeper,23
grief,191
authors,14
talkers,1
reporters,3
severely,28
rebukes,3
enjoined,8
needed,32
sign,50
speechless,17
weep,23
averseness,5
folded,20
statue,5
entreated,6
lent,14
clasping,25
uplifted,22
compound,13
upbraided,10
regarding,5
respecting,16
helpless,13
throughout,26
stage,19
womanhood,4
proving,4
suspicions,17
anxious,7
property,34
embrued,1
dividing,6
fitness,11
contracts,6
execution,46
paroxysms,2
lengthening,1
shorten,9
perfected,2
welfare,16
distinctions,7
abstractedness,2
savours,2
pursues,3
built,17
void,13
cancelled,1
obtruded,3
resulting,3
richest,10
started,26
breath,55
gasped,2
frightful,14
precipitance,1
balance,11
glare,6
becoming,14
disgusts,4
labour,23
repose,7
pleading,12
scrupulously,3
valuing,7
suitors,2
requisite,23
entreat,19
inclining,3
hesitated,14
instigations,14
selfish,31
envious,11
creditable,9
fatal,63
dispensed,17
director,12
inferiority,8
faculty,10
assumption,3
proclaim,3
observers,2
crowding,7
remembrance,47
cruelest,4
tortures,9
limb,4
insupportable,6
significantly,5
anguish,36
hide,39
compelled,25
overcoming,1
stamping,6
frantically,1
gown,27
totally,15
reprobation,7
benigner,1
rays,6
perplex,3
remain,39
weigh,21
humours,15
alleviation,6
tired,36
alternative,24
integrity,9
everlasting,18
shadow,24
driven,54
certainty,19
ensnare,6
entangle,3
obeying,6
boldness,10
deceive,26
patronize,1
ungrateful,80
unmovable,1
stays,17
compassion,52
graces,37
changed,50
amounts,2
obstinate,23
renunciation,2
supplicate,8
reach,50
anxieties,5
labours,7
unlucky,2
browner,1
sullener,1
unhappier,4
dejected,13
requesting,6
conceding,3
soften,14
aggravating,2
furrowed,4
forehead,24
intractable,1
hall,76
admittance,18
dark,37
contrived,20
hurrying,7
triumphed,15
caught,37
cutting,10
rebuke,9
taunting,8
surprise,68
stalked,6
pauses,3
vacuity,1
dryden,13
clown,4
whistle,3
steps,48
clumsy,14
addressing,11
frowned,2
bit,20
contain,29
coloured,15
opener,1
bigger,4
hemmed,8
invincible,16
saucy,60
deprive,29
implore,17
whisper,12
spitefully,6
lost,142
gnawing,2
hazel,1
carved,2
rose,39
scarlet,1
fan,18
fanned,5
snares,24
laying,22
drift,4
worm,6
working,25
willingness,7
prayers,82
confine,17
tale,22
listening,8
listens,3
intermeddler,2
assuredly,8
deliver,18
compliant,1
teasing,24
appeals,10
echo,3
boasted,18
involving,2
reduce,9
sink,21
lend,14
discreetly,1
civil,34
moved,79
slow,18
shut,40
opens,8
stirs,3
moves,7
infected,3
broken,128
doom,11
eleven,41
twelve,25
wall,13
shyest,2
explains,2
assures,15
bespoken,6
escapes,3
aggravations,5
piqued,6
expresses,23
regularity,5
signing,11
voucher,2
pacific,4
foreign,15
protection,171
asylum,10
tyrannically,2
supposals,1
checked,9
reckon,8
voluntarily,14
loverlike,1
condemns,13
grievously,10
disordered,22
noon,17
allege,2
solitary,9
billet,19
contemptuous,7
absented,1
sundays,2
solemnly,37
dejection,15
indisposition,14
acquaintances,4
disgraces,12
proclaimed,1
neighbourhood,28
unmerited,11
severities,4
stress,3
absurdity,8
practice,36
devotions,7
efficacious,7
pervicacious,1
neighbours,16
impair,3
ja,6
silly,42
bird,21
monday,149
troop,2
stead,9
wages,9
tit,1
tat,2
fidelity,16
dismission,6
wringing,8
benefactors,2
disobliged,12
enviously,2
faces,37
pockets,10
number,87
prayed,22
fleer,2
enclosed,88
banes,2
whence,26
detested,12
mercy,129
aforesaid,6
stopping,8
hourly,31
threatenings,13
unheard,3
despaired,4
consolation,65
encumbered,2
remedy,10
junior,2
defend,33
tuesday,114
prisoner,31
florence,20
doubtless,8
watch,43
disposed,36
feed,2
behoved,4
impediment,3
window,64
loud,17
mirth,8
stretch,7
enforcing,2
afterthought,1
disapprove,6
convey,6
speed,7
dissuade,7
aches,7
fastened,10
grieved,39
dutifully,5
speeches,16
vehement,20
complains,15
forbears,2
lays,12
religiously,6
adhere,5
aver,17
burn,10
safekeeping,1
burnt,12
superscription,11
assisted,6
slid,13
bountiful,5
rod,2
hardships,9
prescribed,16
conquered,5
sanction,13
unconcerned,8
interfere,9
melancholy,85
unattempted,3
restore,30
argue,19
reprobate,4
projects,21
contingencies,5
banishment,4
tauntings,2
revilings,4
unsealed,5
forgiven,59
persevere,22
equaled,4
utmost,57
banished,23
ingrateful,3
unsuperscribed,1
testimony,14
repetition,17
morn,40
somehow,4
confinement,37
hanna,1
intelligencies,1
hears,15
expressions,14
fervent,27
solicits,1
obtain,124
seeks,8
perpetually,13
reproached,10
recourse,32
legal,34
verbal,12
abuses,8
wear,28
indirectly,15
knolly,4
loses,1
covertly,1
contempts,15
discouragements,1
assurances,24
questionable,5
apprize,17
connived,3
ungenerously,8
handsomely,19
visiter,17
tormentors,2
amplify,1
streights,1
filled,36
supposer,1
commentators,1
beauties,37
strains,2
insomuch,15
explaining,4
restiff,1
horse,68
sportsmen,1
disjoints,1
attribute,28
deceit,10
contradictory,6
rencontre,1
betwixt,13
exalting,3
imaginary,13
acquiesce,21
complaints,17
inattention,5
giddiness,3
practised,15
various,30
punishable,11
reasonings,16
filial,17
unrewarded,2
failing,8
trustee,8
mansion,4
around,21
gates,4
confessed,15
judging,17
mortification,42
eclipsed,3
faint,33
twinklers,1
prodigy,1
prodigies,1
admiration,42
attract,9
ache,15
shades,8
embrace,13
level,13
strengthen,19
unspeakable,3
laugh,52
laughed,23
continual,8
crying,20
muscles,8
risible,1
tone,21
grin,2
lords,5
creation,22
peculiarities,3
recovering,24
gloominess,4
slowly,13
distortions,1
rusty,5
quarreling,1
splenetic,2
furnish,19
grievous,38
catch,12
insinuating,4
creeping,19
overbearing,2
genuine,6
spiteful,19
malicious,5
disinheriting,1
kitty,8
vilely,20
suspicious,12
wronging,1
badness,1
changing,11
continually,47
crammed,3
puzzling,2
niggardly,2
wine,9
fetches,4
benighted,4
considerations,26
exalt,14
covetousness,2
tie,13
hempen,1
matrimonial,24
cord,1
indication,9
recommenders,1
articled,1
necessaries,4
happiest,39
chidden,8
complying,32
lecture,4
fruitful,1
defending,8
owes,14
curiosities,5
flippant,4
norris,15
mend,17
rivalry,4
latent,4
spleen,3
hero,16
constitutional,8
flippancy,2
hardship,10
smaller,4
yea,3
middle,23
duel,6
fathers,14
experience,64
dirty,12
musty,4
antonys,1
prate,8
indolent,5
spoiled,4
soberest,1
politest,5
judges,22
folks,30
obsequious,13
familiarly,8
blameless,4
lovers,30
palliate,15
princess,4
effects,84
begets,5
acquired,8
burden,9
song,10
sagacity,13
cordially,9
subjugated,3
viscount,1
appearing,28
tyrant,18
moroseness,1
yielding,25
yields,7
extend,12
preserving,1
strength,45
grew,18
established,16
meek,28
inventions,22
tease,21
golden,15
ostentatious,2
nonsense,33
charmingly,25
cajoled,1
wire,4
ensnared,3
birds,16
bondage,3
subordination,2
princesses,1
slaves,9
price,34
reversions,8
beforehand,25
sounded,16
acquirements,9
lessen,15
apparently,9
oddities,1
choler,3
sensibly,11
escape,115
keen,4
wrings,4
distaste,3
subdued,31
condemning,6
rewarded,22
malady,22
excusably,2
witness,49
labouring,16
likings,3
unquestionable,12
probable,49
complaint,8
sooth,4
tendency,8
weaken,13
horrible,14
talent,26
verisimilitude,1
suggest,15
arises,18
litigate,8
flatteries,1
permanent,13
indigence,8
ingeniously,1
harshly,14
indispensable,10
whimsical,25
invites,3
blush,36
touches,8
bears,16
reclaiming,6
conditional,18
justifiable,7
relative,6
social,4
circumscribed,5
freedom,83
glibly,2
attributable,3
weakness,66
sick,75
stuck,10
earliest,9
sheet,8
saturday,89
messages,9
avowals,2
downright,5
promotion,10
footmen,5
inordinate,3
rung,6
recriminate,6
alarm,19
reverse,4
terrify,13
accuses,11
tameness,10
awkwardly,10
remind,36
unpolite,15
anticipate,7
misfortunes,35
barbarous,52
laconic,1
nelly,1
oily,6
exceptional,1
unite,5
joint,9
sufferers,6
overture,4
doctrine,23
remarked,5
uncontrouled,1
liberal,4
examining,2
cease,24
accomplished,8
pertness,6
invoke,5
compassionating,6
preacher,11
questioner,3
plague,29
overvalue,1
villainous,12
evidently,18
miscreant,12
lecturing,1
aggravate,15
injunction,2
utter,21
predominating,6
raw,3
tutored,4
tutor,6
prescriber,1
gentler,11
tastes,1
differently,8
colleges,2
classes,2
tyrants,5
upper,16
students,1
gratified,19
reclaimable,1
censurable,9
paths,16
experiment,4
births,1
educations,2
understandings,2
deportments,1
adviser,5
cant,2
finely,8
requited,4
soft,28
dipped,3
pretend,55
proofs,17
surfeiting,1
catalogue,3
lovesick,2
perfections,26
dance,5
dazzled,1
whining,26
flourishes,3
pew,12
congregation,3
behaving,7
rallied,4
exculpating,2
requiring,4
gain,35
prided,4
counter,2
mien,6
exterior,1
interior,2
trample,5
ornament,13
weighed,12
defective,30
dismiss,16
uncompelled,1
undriven,1
slur,7
soliloquies,1
recent,9
commotion,2
watched,21
coaches,5
vouchsafe,19
demonstrate,12
unseasonableness,1
payer,1
receiver,1
benefited,9
mended,12
ghost,3
bodes,2
bolder,5
murder,27
willingly,17
consultation,5
contained,19
dost,114
thy,1052
compeers,3
press,36
thee,1061
biddest,2
malevolent,2
unpromising,2
captivated,4
charmer,153
withstanding,3
maltreated,1
gloomy,34
instigation,9
knowest,126
sully,1
confounded,46
eternally,11
insolence,38
adored,10
owin,1
sinner,13
regardless,4
permittin,1
slander,2
inspired,9
discernibly,1
poet,32
jack,464
cursed,162
deceiver,18
imposed,29
beheld,42
hast,218
blundering,5
introduce,11
divinity,4
goddess,26
jilt,4
infidelity,7
vowed,30
climes,1
hecatomb,2
nemesis,2
comparing,13
jilted,1
senses,22
grant,28
egad,4
aspiration,1
novelty,10
poets,16
terrenely,1
celestial,4
fired,4
maker,18
fledged,1
pinions,1
sonnet,2
elogy,1
madrigal,1
cynthia,1
stella,2
sacharissa,1
darts,7
cupid,3
create,10
created,23
kinder,5
plaintive,3
sparkle,3
caused,28
snapped,2
rout,7
varletess,4
shackled,3
dancing,8
singing,9
musical,5
danced,7
sung,8
playing,18
egregiously,12
acknowledges,11
begetting,2
hypocrisy,14
attributes,9
contemptible,16
traps,1
personals,2
gracefulness,4
dress,85
debonnaire,2
wilt,257
intellectuals,1
abuse,20
strut,7
jay,2
plumage,3
fetters,8
iron,14
coronet,1
flown,6
safe,67
cage,7
throat,30
ning,4
infant,3
leaps,1
couldst,24
foregoing,4
shackles,7
adopt,2
otway,3
whiners,1
workings,13
stormy,6
variously,1
inspire,17
natures,6
fires,4
incense,8
raging,2
tempestuous,3
ev,11
ry,11
windy,1
blows,6
mounts,1
combined,3
braved,5
brutal,23
spy,9
cooling,1
inflaming,5
revealed,10
faced,15
agent,39
employer,5
wires,7
mount,6
engine,1
oiling,2
tarpaulin,1
ambassador,5
anabella,3
princessly,1
reformation,85
siege,4
wearing,8
guise,4
doubting,26
probation,12
unapproved,1
rascals,4
rascalesses,1
prescribing,8
sordidly,1
footstool,2
throne,9
frost,8
lovely,60
sparkling,7
divinely,4
florid,3
blooming,13
impenetrable,13
addresser,2
talked,59
boasts,6
gradatim,3
cradle,11
prejudices,16
chosen,41
injustice,9
princely,4
hesitates,2
persecuted,21
incoherent,6
ramble,3
haste,23
woe,26
impulse,11
rivets,1
chains,2
loveliest,9
debasest,1
thyself,110
competition,4
rave,23
perdition,17
perpetual,7
basely,14
creep,14
paddock,5
walls,6
mile,9
behold,33
glimpse,3
fifth,3
midnight,18
stroll,1
unfrequented,2
briery,1
enclosures,1
affords,16
unman,3
alehouse,5
inmate,5
accommodations,13
westphalian,1
journey,71
giants,2
dragons,1
harder,6
grandeur,11
competitor,1
deplorably,4
perjured,6
priority,1
reveres,2
cowley,4
fantastic,2
ape,7
shape,20
black,66
brown,6
tawny,1
white,58
flatt,1
rer,1
st,83
universal,9
ve,3
ey,2
harmony,9
sev,1
ral,1
virtues,24
defect,38
ow,1
peerless,2
shakesp,1
canst,117
thinkest,60
intimacies,3
stimulatives,2
field,8
rewarding,4
reined,4
eventually,1
devices,29
contrive,36
travel,14
improvement,11
booby,2
squire,16
confederacy,10
servanted,2
masters,17
indicates,4
enmity,7
reinforced,1
apparatus,1
christians,4
invitation,33
accompany,51
sire,1
durst,21
countenances,8
hair,27
pimply,2
foppish,1
thine,90
rough,25
leader,6
meditating,23
hostility,2
appall,2
resembling,4
desirest,4
amazed,18
mayest,51
king,34
ransom,2
sayest,50
royal,13
emperor,12
farewell,16
observant,4
afford,47
engagement,16
seriously,17
engrafted,1
breach,50
strictest,6
friendships,20
assertion,13
barely,3
option,27
unfavourable,5
liable,15
misconstruction,2
carelessness,12
constrain,3
undisguised,3
represent,15
inexperience,9
paint,10
powerful,12
consigned,3
misery,21
sequestered,1
deserted,7
path,49
daring,16
discarded,2
marks,11
undeserved,18
suspicion,42
neighbouring,18
gentry,4
overblown,2
persecute,8
grieves,5
embattled,2
phalanx,3
pierced,4
persuasions,5
persistence,1
prayer,36
shame,58
vexatious,2
advocateship,1
p,13
recommendation,10
ranking,2
introducing,10
endowments,6
immoral,9
hatreds,1
differing,4
review,7
win,4
esteem,42
unkindness,11
torn,29
limits,2
hangs,3
mistakes,4
servility,1
baseness,67
teach,31
unequal,20
unfit,13
incur,15
disposal,8
expenses,28
moderate,14
superfluities,4
necessitous,1
useless,8
uncertain,16
aggrandizements,1
descendents,2
hazard,12
ratify,2
attempting,9
temporal,12
eternal,28
undertake,34
advances,10
embittered,4
engagements,15
trustees,14
debtor,3
explicit,11
clearly,12
explicitness,7
admit,51
professes,12
dealing,18
exceptions,12
capacity,13
coarse,6
indelicate,9
suffers,19
aged,11
strangers,44
subsistence,5
picks,1
communicative,7
circle,13
diabolical,6
parsimony,3
conjurer,2
hinting,6
tome,1
intimates,9
obscurity,2
narrowness,11
advocate,27
victim,8
disgustful,6
recoiled,2
whereon,1
saith,9
seemeth,4
neighbour,9
cometh,4
searcheth,1
search,33
beat,24
rebel,23
declarations,29
dunstable,1
whoremonger,1
nice,42
reckoned,3
prodigal,4
saving,16
saves,4
spends,2
grain,3
record,3
nicest,2
wh,1
denominated,1
mass,2
contradictions,2
gnat,1
strainers,1
camel,1
swallowers,1
venerable,17
holy,14
writ,3
christened,3
appellation,3
gallant,11
firm,9
hey,6
recommendations,4
depending,13
balked,3
dotage,2
entreaty,12
grievance,3
scale,13
brag,7
recoils,3
romantic,17
meat,6
drink,35
vesture,2
wits,14
schoolmaster,2
n,51
economist,4
dogs,8
lying,16
junketing,1
card,12
fashion,16
ye,90
duce,3
stars,19
province,6
versed,1
grieve,13
squanders,1
borrows,1
costly,1
lavish,1
niceness,30
dresses,13
fop,6
coxcomb,11
complimental,2
poison,11
despised,54
offences,17
smarted,6
circumvented,1
forgiveness,99
offenders,2
meriting,1
dealt,9
rigourously,1
willful,1
deservings,1
wickedly,5
proposes,33
accord,10
articles,27
quarterly,9
contradict,14
wheedle,2
tire,9
threats,5
quake,4
misunderstanding,26
differences,17
honey,1
moon,10
lasts,3
dunmow,1
flitch,1
claimed,5
queer,2
paired,3
imitate,14
scornfully,4
disrespectful,2
besotted,1
examples,10
behoves,19
sauce,3
goose,11
gander,1
admonish,2
deeds,14
heartens,1
constancy,6
gentlewomen,20
consistently,3
froward,1
recoil,1
sea,18
fights,3
sailors,1
soldiers,4
wittier,1
wiser,11
forty,16
vastly,4
ant,3
compliable,4
unanswerable,7
indifferently,3
worded,2
poorly,8
spelt,2
dictating,2
formal,8
discourage,7
proceeding,31
securely,7
uncommon,22
rejoicing,16
scene,58
consulting,9
differed,3
persist,17
access,94
perseverance,34
adjure,1
profess,7
desist,2
worthier,11
complaisantly,4
wisher,6
doubly,26
excellency,6
unalterable,2
devoir,1
contentedly,1
treasure,5
easier,38
circumvent,1
undisposed,2
whim,5
flights,7
villain,127
impertinence,17
fondness,13
witty,19
pathetics,2
styles,4
unopened,9
loyalty,2
trusty,15
intervention,7
bully,1
bark,4
latin,11
classics,6
drooping,2
hadst,59
corporal,3
footing,18
hart,22
terribly,4
wounded,28
village,11
versailles,1
sprung,6
dunghill,3
elderly,8
gotten,5
reining,2
seventeen,5
neat,18
wicker,1
chimney,10
merciful,16
implored,7
debellare,2
superbos,2
simple,19
chit,2
wouldst,74
officiousness,8
innocence,44
combat,5
dodge,3
purlieus,4
pleasing,13
crop,4
flower,20
fragrance,1
vicinage,3
backward,21
matriculation,2
recess,3
attracted,12
simplicities,2
sworn,11
extreme,23
pine,2
refuge,27
slanderous,1
tempt,8
stream,10
encircling,5
garter,1
peradventure,4
breathe,3
inventive,8
machinations,16
unsuspicious,2
shun,29
knife,13
butcher,2
lambkin,1
heaves,1
carpenter,1
dialect,10
playmates,1
eighteenth,1
fifteenth,1
perceived,5
reciprocal,5
scrape,3
bow,24
winding,6
hat,29
reverently,4
doffed,1
courtesy,18
johnny,14
whelp,3
tript,1
dumb,10
barton,2
maiden,21
prettier,2
notabler,1
signifies,23
dies,14
subduing,11
constitution,32
palliating,2
misguiders,1
trespassed,2
freelivers,2
plotting,28
ultimate,5
hardened,31
feeling,22
guilt,67
trespass,2
fruition,2
fraternity,3
committed,49
capital,26
enormity,6
indebted,16
successfully,1
therefores,1
anon,8
motions,48
rascal,28
proceeds,28
weekly,2
egresses,2
regresses,1
bribe,11
stingy,2
applause,12
denying,9
seest,70
secured,16
walks,15
risque,22
tempting,7
unsuspectedly,2
interview,105
dwelling,5
feeding,1
bantam,1
breed,3
fowls,1
corresponds,3
rambling,5
dutch,1
implement,12
haunted,3
coppice,13
tradition,1
hanging,26
unbolted,4
previously,6
adversaries,4
salvo,3
knave,1
gratifying,7
movements,7
pressure,3
sighs,20
loneliness,2
dissipate,7
vengeance,75
hunters,3
tho,6
contains,9
meditates,1
slumb,1
ring,46
sleep,29
waits,10
prey,16
fearless,9
foes,2
draws,5
constrains,1
roaring,4
paws,8
shoots,1
prostrate,4
vulgar,9
er,9
spares,5
lordly,3
rage,41
hunter,6
frighted,50
rustling,5
stack,2
furthermost,3
sin,33
horseman,3
scream,4
prop,3
roof,18
bye,9
dissipated,6
assignation,2
stricter,2
forfeited,15
acquitted,13
intrusion,10
beseeching,10
suffered,136
dutifulness,1
exemplary,13
revenged,8
dearer,19
effecting,6
disliked,13
devotion,14
implication,4
variance,5
ingratitude,17
lastly,6
competitors,1
laboured,7
apprized,31
foibles,10
apace,6
shade,7
awed,17
insignificance,2
preferably,2
steadfastness,2
recede,29
unlikelihood,1
courses,16
enumerated,6
desperation,4
buzzing,4
dismissing,2
stick,7
inexpressibly,12
appealed,12
enabled,47
experienced,6
offensive,11
premises,6
unprecedently,1
asserting,6
stimulating,2
cooperating,1
fiery,7
husbands,24
accustomed,38
scrupled,8
actual,11
enormous,7
asseverations,1
complimenting,8
openness,7
detect,10
lights,30
habits,23
remarking,2
unpoliteness,3
traces,3
mired,1
choaked,2
ignobler,2
animals,4
exceptionable,17
unsparing,2
punctilio,35
worthily,6
origin,1
persecution,15
urgency,5
earl,5
infinite,41
undesired,3
henceforth,5
unbiassed,2
scorning,2
outrages,8
detected,20
lain,15
guarded,10
preventive,2
resort,9
objectionable,1
conjuncture,1
clenched,7
seize,14
frightened,14
throwing,30
repenting,9
inclines,1
avenge,25
ardours,9
condemned,13
acts,27
content,29
twelvemonth,16
abortive,5
dared,32
abide,14
catching,7
pressing,32
corroborate,1
efforts,33
during,9
pretending,30
submission,13
forbad,1
flutter,14
attributing,5
insuperable,3
misrepresents,2
debarred,1
yielded,17
persecutors,7
blameworthy,2
combine,1
enlightened,1
apologize,9
steal,12
puzzle,14
troublesome,8
sweat,7
wot,4
grows,6
harping,2
ingenuously,6
prudery,14
prude,8
explicitly,3
famed,2
prescience,2
weighing,5
opposite,9
scales,2
preponderate,2
inmost,2
recesses,2
allowably,3
sympathizing,4
encies,1
spell,2
treason,7
sovereign,14
challenged,11
inconsideration,6
reasoned,1
throbbed,1
campion,2
tony,9
worthiness,9
pattern,4
feature,22
graceful,16
excusable,17
debated,2
engrossed,14
weighty,8
topics,14
produces,6
instructive,13
adorn,17
adorned,12
manages,1
tasks,1
engross,7
capacious,1
postpone,9
distinctly,6
demands,8
gratefully,14
undoubted,12
occurring,4
construing,1
eager,12
eyed,11
emulative,1
imperfection,5
reproof,9
cautioning,1
satirizing,1
dispraise,4
rectify,3
disguising,2
honestly,8
abrupt,4
finish,11
instructions,25
afforded,15
avowing,2
interpreted,18
reciting,4
refusals,3
receded,2
degrees,20
overlook,5
apparent,24
dying,89
purposed,6
goody,13
baffled,8
fools,34
bullied,3
bequest,4
prosper,2
heat,8
instructed,16
lamented,12
gladly,8
exclude,4
guaranty,2
disingenuously,1
restored,19
tragedy,27
attach,6
fondly,2
tarry,10
ridiculed,7
sweeter,1
mild,6
influenced,9
silenced,4
ay,34
rashly,4
disunite,1
months,53
satisfactory,5
reputable,10
duration,7
discrediting,2
disconcert,3
forcing,3
sprinkled,4
err,9
listened,7
circumlocutions,1
habitation,7
empowered,3
uncontradicted,1
conscientious,3
falsehood,10
equivocation,3
died,29
sickness,20
befall,11
provide,79
prettily,9
needle,14
continuation,38
divided,9
stillness,3
calamities,36
occurred,4
introduction,3
gamester,1
racer,1
fox,5
drinker,1
sobriety,5
excess,13
squanderer,1
jester,3
chastely,1
hereditary,1
glove,6
mushroomed,1
peculiars,4
arrogantly,2
conviction,24
amendment,15
imposing,7
extenuating,2
pleasanter,3
framers,1
office,69
principled,4
brutally,3
universally,9
training,4
testify,8
mistressly,1
faultily,1
cousins,65
tyrannize,2
intruded,2
reclaim,24
secondary,7
enflamed,1
upheld,1
fortuned,1
impurity,1
joining,18
unsubdued,2
vindictive,12
unsettle,1
precepts,9
defied,14
taint,3
arising,16
conjuring,1
ingenuousness,24
causes,24
silencing,1
acknowledgment,2
discussion,6
constructions,11
undesigning,6
fathomed,4
impenetrableness,3
contested,1
frankness,7
regardlessness,1
appearances,37
variableness,2
levity,33
fitted,12
consentaneousness,1
animal,8
faculties,12
pointed,24
pale,12
miracle,13
pleads,9
disinterestedness,3
plausibly,3
ability,5
lowest,7
submissions,6
ethics,1
stared,14
trite,10
moralist,1
obloquies,1
obloquy,1
wipe,17
sponge,3
taxed,4
balances,1
compounding,4
reasoning,15
vapours,4
assignable,1
preponderating,2
monarch,7
unconquerable,4
susceptible,7
prudish,7
revolving,5
gladdened,3
archness,3
collect,13
plausible,13
attractive,2
sighted,6
intellectual,26
neglected,13
summer,27
butterfly,2
furrows,4
arrives,18
helen,1
matron,6
advanced,13
finds,39
airy,2
supply,30
effeminate,1
happens,18
strikes,6
outside,39
ridiculous,8
exposes,4
dwindles,1
sinks,4
figures,16
learning,35
preserved,22
politer,5
sentences,25
drag,3
creeps,3
anew,4
reporting,3
coy,4
unwilling,17
knight,4
spoils,5
wives,29
surly,3
misogynist,1
wherewith,6
permits,7
disobligations,6
oblivion,5
withal,2
newest,1
suits,14
dressed,44
entire,15
lieu,21
allowance,7
pin,4
larger,10
provision,19
draught,16
settlement,5
stipulated,5
sightlines,1
disparaging,2
disparagement,5
hopelessness,3
uncheerful,2
clasp,3
ungovernable,10
surprisingly,4
terrifying,4
sweetly,23
condescendingly,2
attracting,7
richness,3
quitting,28
settee,3
reminding,3
ink,39
trembled,23
steadier,3
chapel,26
clothes,126
contending,6
adhered,5
altogether,33
relies,3
wrath,12
weary,9
idiot,4
longs,8
scolding,5
bout,5
scold,1
mislead,10
representing,5
pi,1
ous,1
sneeringly,1
lock,25
devote,3
arch,9
aaron,1
swallows,3
vindicated,6
raved,11
championess,2
willfulness,1
lightness,1
pleasant,18
fain,38
bar,11
profligates,5
opportunely,3
unrequited,2
opportune,2
amen,4
retort,3
ridiculing,4
abject,7
sneering,2
cautioned,4
ringing,4
changes,12
bells,4
advancing,5
tittle,8
tricks,14
beck,4
thereby,16
pug,2
artfullest,1
accusation,7
bewitched,2
respected,18
ciphers,1
bewitching,2
significance,13
forsooth,6
unattended,3
bewitch,1
slabbered,1
doting,3
silver,14
smooth,10
grandchild,2
pictures,8
tiddle,1
neglect,12
clean,11
dainty,4
quantities,3
generations,20
humouring,2
fal,2
lal,2
alluding,1
witch,5
blandishing,1
reduced,41
curling,2
serpent,8
import,7
childish,4
follies,19
reflector,2
venom,1
wert,50
allowances,9
hook,1
extravagancies,3
gratis,1
mum,1
incapable,31
sums,19
squander,2
cabinet,6
county,9
popularity,1
crowd,19
top,11
proclamations,4
hid,15
bushel,3
blazing,5
charitable,27
ostentations,1
largely,8
contemptuously,6
hoards,2
overtures,8
tarrying,4
stray,4
sighing,20
hospitable,3
board,23
griefs,15
creeper,1
insinuator,1
roar,5
horribly,7
snatching,11
incensing,1
performance,35
hired,10
italy,20
incurred,12
subterfuges,1
revoke,18
interposition,15
harpsichord,6
humming,5
unconcernedness,2
protest,9
penwoman,1
jesting,8
unsisterliness,1
stoops,4
square,15
messengers,9
dispatched,30
rapped,1
fairies,2
assembling,1
shameful,9
forwardness,9
emptying,1
quiver,4
confessions,13
falsehoods,6
befal,12
bravo,4
shamelessly,1
threatens,15
hearkened,2
disadvantageous,2
pacify,19
agreeably,7
fluttered,15
rattle,2
hollow,5
sounding,3
bench,3
interlards,1
invective,4
soothed,1
forming,6
pro,7
con,7
flattered,10
righteous,2
recognize,1
surliness,1
dried,2
gushing,2
fluttering,9
drying,6
fanciful,1
prolixity,3
imaginations,8
flourish,7
acknowledgements,11
ceased,2
mannerly,1
flings,3
despising,8
tem,1
invented,4
mopsy,1
mocking,2
mis,7
disdainful,4
bridled,3
scornful,5
discover,23
hush,2
bristling,1
duels,2
duelling,9
ladyship,47
averted,12
lovyer,1
bleeding,10
stuff,20
contriving,21
aghast,7
amaze,4
assemble,3
interpositions,1
commissioned,5
nobly,17
allied,10
itched,1
played,16
terrifies,4
hole,25
wenesday,1
saluting,2
conceive,15
tune,4
opening,25
book,48
defeated,1
snare,11
absolved,4
builds,3
oracle,4
mingling,5
proudly,6
ragged,2
building,3
pulling,12
flighty,5
fie,21
revoking,5
hinders,6
exerting,4
embroiling,3
revengeful,5
wreak,1
minding,4
provokingly,1
phrases,14
oats,3
oxen,2
qualifiers,1
perform,39
wonders,12
reflecter,1
rancorous,1
hundredth,4
trusting,4
concerted,4
inflicted,1
perpetuated,6
marriages,5
incredulity,5
downstairs,1
vol,216
editions,41
replace,16
renamed,14
creating,39
print,11
u,37
copyright,138
foundation,258
distribute,54
paying,31
royalties,20
special,21
copying,37
distributing,63
tm,513
electronic,243
concept,18
trademark,105
registered,18
including,87
derivative,27
performances,14
research,18
ebooks,93
modified,9
printed,21
practically,10
redistribution,18
commercial,10
mission,36
promoting,22
distribution,62
associated,70
agree,99
available,18
file,33
section,63
redistributing,18
indicate,15
agreement,165
fee,84
refund,90
entity,27
paragraph,114
e,214
b,36
literary,118
archive,117
pglaf,58
compilation,9
collection,46
domain,60
unprotected,9
performing,34
displaying,38
based,34
format,36
downloading,9
representations,13
status,36
links,27
prominently,18
accessed,9
displayed,13
viewed,11
copied,20
distributed,36
derived,11
texts,8
indicating,11
posted,57
holder,36
fees,48
providing,41
requirements,36
paragraphs,34
linked,9
unlink,9
detach,10
files,16
containing,15
display,17
redistribute,9
convert,15
binary,9
